team_id,team_name,base_location,entry_year
1,BWT Alpine F1 Team,United Kingdom,2021
2,Aston Martin Aramco F1 Team,United Kingdom,2021
3,Scuderia Ferrari HP,Italy,1950
4,MoneyGram Haas F1 Team,United States,2016
5,Stake F1 Team Kick Sauber,Switzerland,2024
6,McLaren Formula 1 Team,United Kingdom,1966
7,Mercedes-AMG Petronas F1 Team,United Kingdom,2010
8,Visa Cash App Racing Bulls F1 Team,Italy,2024
9,Oracle Red Bull Racing,United Kingdom,2005
10,Atlassian Williams Racing,United Kingdom,1977
